Ref,LEA Name,City,County,LEA Type,SB 978 Landing Page,Internet Archive Wayback URL,Policy Materials,Training Materials
SB978-001,Alameda County District Attorney ,Alameda,Alameda County ,District Attorney,https://www.alcoda.org/about_us/,https://wayback.archive-it.org/16422/*/https://www.alcoda.org/about_us/,https://www.alcoda.org/about_us/files/INSPECTOR_POLICY_MANUAL_12-2020-edit.pdf,Not Available
SB978-002,Alameda County Sheriff's Office,Alameda,Alameda County,Sheriff,https://www.alamedacountysheriff.org/policies.php,https://wayback.archive-it.org/16422/*/https://www.alamedacountysheriff.org/policies.php,https://www.alamedacountysheriff.org/policies.php,https://www.alamedacountysheriff.org/policies.php
SB978-003,Alameda Police Department,Alameda,Alameda County,Police,https://www.alamedaca.gov/Departments/Police-Department/Standards-Policies-Practices,https://wayback.archive-it.org/16422/*/https://www.alamedaca.gov/Departments/Police-Department/Standards-Policies-Practices,https://www.alamedaca.gov/files/assets/public/departments/alameda/police/lexipol-manual-6.8.20-update.pdf,https://www.alamedaca.gov/files/assets/public/departments/alameda/police/dispatch-training-manual-060820.pdf  https://www.alamedaca.gov/files/assets/public/departments/alameda/police/field-training-manual.pdf. https://www.alamedaca.gov/files/assets/public/departments/alameda/police/sergeant-training-resource.pdf.https://www.alamedaca.gov/files/assets/public/departments/alameda/police/training-bulletins.pdf
SB978-004,Albany Police Department,Albany,Contra Costa County,Police,https://www.albanyca.org/departments/police-department/policies-procedures-training-sb978,https://wayback.archive-it.org/16422/*/https://www.albanyca.org/departments/police-department/policies-procedures-training-sb978,https://www.albanyca.org/Home/ShowDocument?id=47159,https://www.albanyca.org/departments/police-department/policies-procedures-training-sb978
SB978-005,Alhambra Police Department,Alhambra,Los Angeles County,Police,https://www.cityofalhambra.org/departments/police-department,https://wayback.archive-it.org/16422/*/https://www.cityofalhambra.org/departments/police-department,https://drive.google.com/file/d/1mSQ2wgBmAbHH4x7r83ozVps_2fWzE8EM/view,https://drive.google.com/file/d/1gtdx9I4s3b8BlSS7uDiL9pI3BKmMJh0f/view
SB978-008,Alpine County Sheriff's Department,Markleeville,Alpine County,Sheriff,https://www.alpinecountyca.gov/DocumentCenter,https://wayback.archive-it.org/16422/*/https://www.alpinecountyca.gov/DocumentCenter,https://www.alpinecountyca.gov/DocumentCenter/View/2842/Alpine-County-Sheriffs-Office-Policy-Manual,Not Available
SB978-009,Alturas Police Department,Alturas,Modoc County,Police,http://www.cityofalturas.us/2019_Alturas_PD_Policy_Manual.pdf,https://wayback.archive-it.org/16422/*/http://www.cityofalturas.us/2019_Alturas_PD_Policy_Manual.pdf,http://www.cityofalturas.us/2019_Alturas_PD_Policy_Manual.pdf,Not Available
SB978-011,Amador County Sheriff's Department,Jackson,Amador County,Sheriff,https://www.amadorsheriff.org/administration-division/administrative-bureau/professional-standards,https://wayback.archive-it.org/16422/*/https://www.amadorsheriff.org/administration-division/administrative-bureau/professional-standards,https://www.amadorsheriff.org/images/administration-div/Docs/Amador_CO_SO_CA_Policy_Manual_3-2-2021.pdf,Not Available
SB978-012,American River College Police Department,Sacramento,Sacramento County,College/University,https://police.losrios.edu/about-los-rios-police-department/policy-manual,https://wayback.archive-it.org/16422/*/https://police.losrios.edu/about-los-rios-police-department/policy-manual,https://police.losrios.edu/lrpd/doc/policy-manual.pdf,Not Available
SB978-014,Anaheim Police Department,Anaheim,Orange County,Police,http://www.anaheim.net/385/Policy-Manual,https://wayback.archive-it.org/16422/*/http://www.anaheim.net/385/Policy-Manual,http://www.anaheim.net/DocumentCenter/View/29459/APD-Policy-Manual,Not Available
SB978-015,Anderson Police Department,Anderson,Shasta County,Police,https://www.andersonpolice.org/policy-training,https://wayback.archive-it.org/16422/*/https://www.andersonpolice.org/policy-training,https://5c939e29-1258-4f7d-8c66-e5109faca613.filesusr.com/ugd/b36806_d2a266ebeb1d45e3ae0f60bcc67ec92a.pdf,https://opendata.post.ca.gov/
SB978-016,Angels Camp Police Department,Angels Camp,Calaveras County,Police,http://angelscamp.gov/wp-content/uploads/2020/02/ACPD-POLICY-MANUAL.pdf,https://wayback.archive-it.org/16422/*/http://angelscamp.gov/wp-content/uploads/2020/02/ACPD-POLICY-MANUAL.pdf,http://angelscamp.gov/wp-content/uploads/2020/02/ACPD-POLICY-MANUAL.pdf,Not Available
SB978-017,Antioch Police Department,Antioch,Contra Costa County,Police,https://www.antiochca.gov/police/sb-978-policy-manual-training-materials/,https://wayback.archive-it.org/16422/*/https://www.antiochca.gov/police/sb-978-policy-manual-training-materials/,https://www.antiochca.gov/fc/police/apd-policy-manual.pdf,https://www.antiochca.gov/fc/police/policy/Dispatch-Training-Manual.pdf
SB978-018,Apple Valley Unified School District Police Department,Apple Valley,San Bernardino County,School,https://drive.google.com/file/d/1RAEGwbwrFfIaATi2Gn_gk7l89ZQT2Qte/view,https://wayback.archive-it.org/16422/*/https://drive.google.com/file/d/1RAEGwbwrFfIaATi2Gn_gk7l89ZQT2Qte/view,https://drive.google.com/file/d/1RAEGwbwrFfIaATi2Gn_gk7l89ZQT2Qte/view,Not Available
SB978-019,Arcadia Police Department,Arcadia,Los Angeles County,Police,https://www.arcadiaca.gov/Protect%20Arcadia/RELEASE_20201215_T171052_Arcadia_PD_Policy_Manual.pdf,https://wayback.archive-it.org/16422/*/https://www.arcadiaca.gov/Protect%20Arcadia/RELEASE_20201215_T171052_Arcadia_PD_Policy_Manual.pdf,https://www.arcadiaca.gov/Protect%20Arcadia/RELEASE_20201215_T171052_Arcadia_PD_Policy_Manual.pdf,Not Available
SB978-020,Arcata Police Department,Arcata,Humboldt County,Police,https://www.cityofarcata.org/236/Policies-Practices-and-Operating-Procedu,https://wayback.archive-it.org/16422/*/https://www.cityofarcata.org/236/Policies-Practices-and-Operating-Procedu,https://www.cityofarcata.org/DocumentCenter/View/10202/Arcata-Police-Department-Policy-Manual-update-11032020?bidId=,Not Available
SB978-021,Arroyo Grande Police Department,Arroyo Grande,San Luis Obispo County,Police,http://www.agpd.org/705/Training-and-Policy,https://wayback.archive-it.org/16422/*/http://www.agpd.org/705/Training-and-Policy,http://www.agpd.org/DocumentCenter/View/7635/AGPD-Policy-Manual-PDF?bidId=,http://www.agpd.org/DocumentCenter/View/7636/Training-Activities-List-Report-PDF
SB978-022,Arvin Police Department,Arvin,Kern County,Police,https://www.arvin.org/181/Police,https://wayback.archive-it.org/16422/*/https://www.arvin.org/181/Police,https://www.arvin.org/DocumentCenter/View/288/Arvin-Police-Department-Policy-Manual-PDF,Not Available
SB978-023,Atascadero Police Department,Atascadero,San Luis Obispo County,Police,https://www.atascadero.org/index.php?option=com_content&view=article&id=1375&Itemid=2192,https://wayback.archive-it.org/16422/*/https://www.atascadero.org/index.php?option=com_content&view=article&id=1375&Itemid=2192,https://docs.google.com/spreadsheets/d/1CawCL2TVN4U-SeY7TmQlb3iqfDAsn4CeLaZx1chR4to/edit?usp=sharing,Not Available
SB978-024,Atherton Police Department,Atherton,San Mateo County,Police,https://www.ci.atherton.ca.us/525/Transparency,https://wayback.archive-it.org/16422/*/https://www.ci.atherton.ca.us/525/Transparency,https://www.ci.atherton.ca.us/DocumentCenter/View/8126/Lexipol-Policy-Manual-9-10-2020,https://www.ci.atherton.ca.us/DocumentCenter/View/7597/Dispatch-Training-Manual-2020?bidId=
SB978-025,Atwater Police Department,Atwater,Merced County,Police,https://www.atwater.org/departments/police/uof-policy-complaints/,https://wayback.archive-it.org/16422/*/https://www.atwater.org/departments/police/uof-policy-complaints/,https://www.atwater.org/wp-content/uploads/2020/06/RELEASE_20200610_T181326_Atwater_PD_Policy_Manual-1.pdf,Not Available
SB978-026,Auburn Police Department,Auburn,Placer County,Police,https://www.auburn.ca.gov/493/Policies-and-Procedures-Manual,https://wayback.archive-it.org/16422/*/https://www.auburn.ca.gov/493/Policies-and-Procedures-Manual,https://www.auburn.ca.gov/DocumentCenter/View/1657/Auburn-Police-Department-Policy-and-Procedure-Manual-12-23-19,Not Available
SB978-027,Avenal Police Department,Avenal,Kings County,Police,https://www.cityofavenal.com/450/Policies-and-Procedures,https://wayback.archive-it.org/16422/*/https://www.cityofavenal.com/450/Policies-and-Procedures,https://www.cityofavenal.com/450/Policies-and-Procedures,Not Available
SB978-029,Azusa Police Department,Azusa,Los Angeles County,Police,https://azusapd.org/department-policies,https://wayback.archive-it.org/16422/*/https://azusapd.org/department-policies,https://azusapd.org/department-policies,Not Available
SB978-030,Bakersfield Police Department,Bakersfield,Kern County,Police,https://www.bakersfieldcity.us/890/Policies-and-Procedures,https://wayback.archive-it.org/16422/*/https://www.bakersfieldcity.us/890/Policies-and-Procedures,https://content.civicplus.com/api/assets/e8d59b0d-2b37-4247-af77-b61767e21546?cache=1800,Not Available
SB978-033,Banning Police Department,Banning,Riverside County,Police,http://www.banning.ca.us/614/Department-Policy-Procedures,https://wayback.archive-it.org/16422/*/http://www.banning.ca.us/614/Department-Policy-Procedures,http://www.banning.ca.us/DocumentCenter/View/6167/Policy-Manual?bidId=,Not Available
SB978-034,Barstow Police Department,Barstow,San Bernardino County,Police,https://www.barstowca.org/departments/police/policy-manual,https://wayback.archive-it.org/16422/*/https://www.barstowca.org/departments/police/policy-manual,https://docs.google.com/spreadsheets/d/1CawCL2TVN4U-SeY7TmQlb3iqfDAsn4CeLaZx1chR4to/edit?usp=sharing,https://post.ca.gov/training
SB978-035,Bay Area Rapid Transit Police Department,Oakland,Alameda County,Transit,https://www.bart.gov/about/police/reports,https://wayback.archive-it.org/16422/*/https://www.bart.gov/about/police/reports,https://www.bart.gov/sites/default/files/docs/Lexipol%20Policy%20Manual%20December%202020_0.pdf,https://www.bart.gov/about/police/reports
SB978-036,Bear Valley Police Department,Bear Valley,Alpine County,Police,https://www.bvcsd.com/police-department,https://wayback.archive-it.org/16422/*/https://www.bvcsd.com/police-department,https://uploads-ssl.webflow.com/5cdc7ca6d8a73b946527cfa1/5fe25ea5f050d567db516cd3_RELEASE_20201222_T133105_Bear_Valley_PD_Policy_Manual%20(1).pdf,Not Available
SB978-037,Beaumont Police Department,Beaumont,Riverside County,Police,http://beaumontpd.org/policy/,https://wayback.archive-it.org/16422/*/http://beaumontpd.org/policy/,https://beaumontca.gov/DocumentCenter/View/36426/Beaumont-PD-Policy-Manual,Not Available
SB978-038,Bell Gardens Police Department,Bell Gardens,Los Angeles County,Police,https://www.bellgardens.org/government/public-safety/police-department/records/police-department-policies,https://wayback.archive-it.org/16422/*/https://www.bellgardens.org/government/public-safety/police-department/records/police-department-policies,https://www.bellgardens.org/home/showpublisheddocument?id=2319,Not Available
SB978-040,Belmont Police Department,Belmont,San Mateo County,Police,https://www.belmont.gov/departments/police/transparency,https://wayback.archive-it.org/16422/*/https://www.belmont.gov/departments/police/transparency,https://www.belmont.gov/home/showpublisheddocument?id=18935,https://www.belmont.gov/departments/police/transparency
SB978-041,Belvedere Police Department,Belvedere,Marin County,Police,https://www.cityofbelvedere.org/DocumentCenter/,https://wayback.archive-it.org/16422/*/https://www.cityofbelvedere.org/DocumentCenter/,https://www.cityofbelvedere.org/DocumentCenter/View/6929/20200903-RELEASE-Belvedere-PD-Policy-Manual,Not Available
